ModelName,Dataset,Detail,precision,recall,hit,ndcg,mrr
NLBA,book-crossing-CTR,embedding(16);train_batch_size(8);,0.4945,0.5602,0.9114,0.5543,0.649
NLBA,book-crossing-CTR,embedding(16);train_batch_size(16);,0.4945,0.5602,0.9114,0.5543,0.649
NLBA,book-crossing-CTR,embedding(16);train_batch_size(32);,0.4945,0.5602,0.9114,0.5543,0.649
NLBA,book-crossing-CTR,embedding(16);train_batch_size(64);,0.4945,0.5602,0.9114,0.5543,0.649
NLBA,book-crossing-CTR,embedding(16);train_batch_size(128);,0.4945,0.5602,0.9114,0.5549,0.6499
NLBA,book-crossing-CTR,embedding(16);train_batch_size(256);,0.4945,0.5602,0.9114,0.5543,0.649
